Data Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 3,,,,,,,Grade 4,,,,,,,Grade 5,,,,,,,Grade 6,,,,,,,Grade 7,,,,,,,Grade 8,,,,,,,Corporation Total,,,,,,,
0755,Delphi Community School Corp,44,23,29,7,36,103,35.0%,39,28,25,12,37,104,35.6%,48,19,14,15,29,96,30.2%,32,34,25,7,32,98,32.7%,34,37,14,6,20,91,22.0%,39,32,11,9,20,91,22.0%,236,173,118,56,174,583,29.8%,
0775,Pioneer Regional School Corp,19,16,17,13,30,65,46.2%,35,13,9,3,12,60,20.0%,56,17,5,1,6,79,7.6%,36,24,10,5,15,75,20.0%,9,14,23,12,35,58,60.3%,7,26,24,12,36,69,52.2%,162,110,88,46,134,406,33.0%,
0815,Lewis Cass Schools ,34,29,28,11,39,102,38.2%,18,24,27,11,38,80,47.5%,45,35,25,13,38,118,32.2%,44,27,22,12,34,105,32.4%,63,21,15,9,24,108,22.2%,40,36,16,7,23,99,23.2%,244,172,133,63,196,612,32.0%,
0875,Logansport Community Sch Corp,152,66,84,33,117,335,34.9%,152,75,85,20,105,332,31.6%,206,85,26,13,39,330,11.8%,164,113,42,5,47,324,14.5%,211,70,16,14,30,311,9.6%,201,64,21,17,38,303,12.5%,1086,473,274,102,376,1935,19.4%,
0935,Borden-Henryville School Corporation,34,22,33,21,54,110,49.1%,40,20,47,32,79,139,56.8%,55,45,33,11,44,144,30.6%,40,35,52,21,73,148,49.3%,42,35,22,15,37,114,32.5%,65,45,15,3,18,128,14.1%,276,202,202,103,305,783,39.0%,
0945,Silver Creek School Corporation,66,46,75,61,136,248,54.8%,76,51,71,19,90,217,41.5%,65,66,55,29,84,215,39.1%,56,64,62,46,108,228,47.4%,91,93,63,27,90,274,32.8%,58,74,59,57,116,248,46.8%,412,394,385,239,624,1430,43.6%,
1000,Clarksville Community School Corp,153,50,53,15,68,271,25.1%,188,47,31,14,45,280,16.1%,224,52,18,11,29,305,9.5%,354,46,20,4,24,424,5.7%,333,80,28,10,38,451,8.4%,458,63,26,8,34,555,6.1%,1710,338,176,62,238,2286,10.4%,
1010,Greater Clark County Schools,262,135,216,137,353,750,47.1%,307,148,211,115,326,781,41.7%,309,207,164,107,271,787,34.4%,291,184,155,79,234,709,33.0%,369,216,112,65,177,762,23.2%,375,236,102,76,178,789,22.6%,1913,1126,960,579,1539,4578,33.6%,
1125,Clay Community Schools,50,60,90,103,193,303,63.7%,61,47,117,78,195,303,64.4%,57,53,69,104,173,283,61.1%,87,71,75,56,131,289,45.3%,107,68,85,36,121,296,40.9%,119,87,50,47,97,303,32.0%,481,386,486,424,910,1777,51.2%,
1150,Clinton Central School Corporation,11,12,19,22,41,64,64.1%,20,7,22,13,35,62,56.5%,11,16,19,16,35,62,56.5%,20,11,20,11,31,62,50.0%,27,20,11,6,17,64,26.6%,29,19,4,3,7,55,12.7%,118,85,95,71,166,369,45.0%,
1160,Clinton Prairie School Corporation,26,23,34,17,51,100,51.0%,22,21,30,15,45,88,51.1%,20,24,33,15,48,92,52.2%,21,26,20,27,47,94,50.0%,14,22,25,15,40,76,52.6%,36,31,19,6,25,92,27.2%,139,147,161,95,256,542,47.2%,
1170,Community Schools of Frankfort,71,36,60,52,112,219,51.1%,75,45,61,34,95,215,44.2%,115,63,32,13,45,223,20.2%,99,51,43,9,52,202,25.7%,105,61,45,19,64,230,27.8%,90,51,41,28,69,210,32.9%,555,307,282,155,437,1299,33.6%,
1180,Rossville Con School District,15,14,31,26,57,86,66.3%,14,18,25,22,47,79,59.5%,27,22,19,12,31,80,38.8%,27,16,18,6,24,67,35.8%,13,15,18,13,31,59,52.5%,35,26,15,7,22,83,26.5%,131,111,126,86,212,454,46.7%,
1300,Crawford County Community Sch Corp,20,22,34,16,50,92,54.3%,29,18,18,25,43,90,47.8%,24,17,26,21,47,88,53.4%,17,35,24,20,44,96,45.8%,33,22,16,10,26,81,32.1%,16,24,26,27,53,93,57.0%,139,138,144,119,263,540,48.7%,
1315,Barr-Reeve Community Schools Inc,7,6,39,29,68,81,84.0%,13,16,32,39,71,100,71.0%,16,21,30,29,59,96,61.5%,2,14,31,21,52,68,76.5%,17,24,21,16,37,78,47.4%,4,14,22,33,55,73,75.3%,59,95,175,167,342,496,69.0%,
1375,North Daviess Com Schools,18,19,28,22,50,87,57.5%,37,24,19,4,23,84,27.4%,29,23,14,5,19,71,26.8%,26,17,17,18,35,78,44.9%,46,24,12,9,21,91,23.1%,50,24,7,7,14,88,15.9%,206,131,97,65,162,499,32.5%,
1405,Washington Community Schools,94,30,34,18,52,176,29.5%,94,27,29,18,47,168,28.0%,106,45,22,7,29,180,16.1%,84,40,25,16,41,165,24.8%,82,50,31,23,54,186,29.0%,94,62,29,17,46,202,22.8%,554,254,170,99,269,1077,25.0%,
1560,Sunman-Dearborn Com Sch Corp,47,56,104,70,174,277,62.8%,53,65,113,49,162,280,57.9%,45,64,71,45,116,225,51.6%,68,77,102,22,124,269,46.1%,70,77,74,68,142,289,49.1%,85,83,36,84,120,288,41.7%,368,422,500,338,838,1628,51.5%,
1600,South Dearborn Community Sch Corp,26,21,48,24,72,119,60.5%,50,32,35,16,51,133,38.3%,28,42,29,27,56,126,44.4%,45,45,32,22,54,144,37.5%,55,50,24,24,48,153,31.4%,72,40,19,11,30,142,21.1%,276,230,187,124,311,817,38.1%,
1620,Lawrenceburg Community School Corp,21,25,58,34,92,138,66.7%,29,27,50,21,71,127,55.9%,41,36,32,28,60,137,43.8%,72,49,17,14,31,152,20.4%,47,50,22,21,43,140,30.7%,59,59,30,11,41,159,25.8%,269,246,209,129,338,853,39.6%,
1655,Decatur County Community Schools,22,23,43,45,88,133,66.2%,33,31,49,39,88,152,57.9%,18,42,33,26,59,119,49.6%,36,26,36,32,68,130,52.3%,50,34,26,16,42,126,33.3%,43,45,26,17,43,131,32.8%,202,201,213,175,388,791,49.1%,
1730,Greensburg Community Schools,37,22,48,41,89,148,60.1%,43,39,43,37,80,162,49.4%,29,31,42,38,80,140,57.1%,50,45,20,24,44,139,31.7%,56,37,31,13,44,137,32.1%,61,46,22,16,38,145,26.2%,276,220,206,169,375,871,43.1%,
1805,DeKalb Co Eastern Com Sch Dist,32,17,39,9,48,97,49.5%,32,20,25,13,38,90,42.2%,41,20,24,4,28,89,31.5%,47,23,21,11,32,102,31.4%,31,26,26,8,34,91,37.4%,30,42,14,5,19,91,20.9%,213,148,149,50,199,560,35.5%,
