Data Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 3,,,,,,,Grade 4,,,,,,,Grade 5,,,,,,,Grade 6,,,,,,,Grade 7,,,,,,,Grade 8,,,,,,,Corporation Total,,,,,,,
3160,Lanesville Community School Corp,10,9,29,22,51,70,72.9%,12,19,15,6,21,52,40.4%,14,17,12,13,25,56,44.6%,19,17,15,14,29,65,44.6%,6,7,11,15,26,39,66.7%,12,10,12,12,24,46,52.2%,73,79,94,82,176,328,53.7%,
3180,North Harrison Com School Corp,28,29,77,27,104,161,64.6%,40,30,55,25,80,150,53.3%,28,38,35,49,84,150,56.0%,48,44,40,29,69,161,42.9%,29,51,31,22,53,133,39.8%,34,39,34,35,69,142,48.6%,207,231,272,187,459,897,51.2%,
3190,South Harrison Com Schools,54,35,100,57,157,246,63.8%,59,49,79,32,111,219,50.7%,58,58,56,52,108,224,48.2%,51,59,55,43,98,208,47.1%,73,67,41,46,87,227,38.3%,60,60,44,48,92,212,43.4%,355,328,375,278,653,1336,48.9%,
3295,North West Hendricks Schools,13,19,52,56,108,140,77.1%,13,21,44,65,109,143,76.2%,11,25,52,45,97,133,72.9%,33,35,42,42,84,152,55.3%,43,43,23,25,48,134,35.8%,30,37,40,44,84,151,55.6%,143,180,253,277,530,853,62.1%,
3305,Brownsburg Community School Corp,52,71,193,390,583,706,82.6%,93,103,288,338,626,822,76.2%,92,143,218,336,554,789,70.2%,93,106,238,348,586,785,74.6%,83,151,242,355,597,831,71.8%,110,156,215,313,528,794,66.5%,523,730,1394,2080,3474,4727,73.5%,
3315,Avon Community School Corp,141,121,235,266,501,763,65.7%,155,118,272,263,535,808,66.2%,196,179,176,190,366,741,49.4%,258,184,222,156,378,820,46.1%,192,233,224,226,450,875,51.4%,158,144,161,366,527,829,63.6%,1100,979,1290,1467,2757,4836,57.0%,
3325,Danville Community School Corp,36,44,77,59,136,216,63.0%,39,43,61,54,115,197,58.4%,47,55,71,41,112,214,52.3%,49,45,55,38,93,187,49.7%,41,71,65,48,113,225,50.2%,35,63,51,52,103,201,51.2%,247,321,380,292,672,1240,54.2%,
3330,Plainfield Community School Corp,61,70,126,150,276,407,67.8%,81,69,149,96,245,395,62.0%,121,88,105,124,229,438,52.3%,58,70,124,209,333,461,72.2%,92,99,106,146,252,443,56.9%,114,119,136,87,223,456,48.9%,527,515,746,812,1558,2600,59.9%,
3335,Mill Creek Community Sch Corp,27,18,32,26,58,103,56.3%,15,17,38,30,68,100,68.0%,12,10,40,36,76,98,77.6%,29,40,31,17,48,117,41.0%,17,43,31,18,49,109,45.0%,48,27,19,18,37,112,33.0%,148,155,191,145,336,639,52.6%,
3405,Blue River Valley Schools,13,6,18,2,20,39,51.3%,3,7,16,15,31,41,75.6%,9,13,7,4,11,33,33.3%,23,6,5,1,6,35,17.1%,22,13,3,3,6,41,14.6%,29,9,2,4,6,44,13.6%,99,54,51,29,80,233,34.3%,
3415,South Henry School Corp,16,8,15,10,25,49,51.0%,19,13,17,8,25,57,43.9%,21,17,14,9,23,61,37.7%,40,13,13,8,21,74,28.4%,35,18,5,2,7,60,11.7%,33,21,4,2,6,60,10.0%,164,90,68,39,107,361,29.6%,
3435,Shenandoah School Corporation,7,12,38,33,71,90,78.9%,12,10,37,35,72,94,76.6%,19,26,29,30,59,104,56.7%,20,22,39,21,60,102,58.8%,36,26,19,12,31,93,33.3%,23,34,25,19,44,101,43.6%,117,130,187,150,337,584,57.7%,
3445,New Castle Community School Corp,62,47,53,49,102,211,48.3%,82,43,54,26,80,205,39.0%,72,56,47,28,75,203,36.9%,91,51,32,17,49,191,25.7%,103,49,26,25,51,203,25.1%,133,40,15,28,43,216,19.9%,543,286,227,173,400,1229,32.5%,
3455,C A Beard Memorial School Corp,19,21,29,16,45,85,52.9%,15,15,35,22,57,87,65.5%,16,22,21,12,33,71,46.5%,28,13,13,11,24,65,36.9%,31,20,6,10,16,67,23.9%,41,22,13,4,17,80,21.3%,150,113,117,75,192,455,42.2%,
3460,Taylor Community School Corp,38,12,16,6,22,72,30.6%,33,17,24,5,29,79,36.7%,61,18,9,3,12,91,13.2%,68,12,6,2,8,88,9.1%,60,21,10,2,12,93,12.9%,54,19,3,5,8,81,9.9%,314,99,68,23,91,504,18.1%,
3470,Northwestern School Corp,26,36,50,12,62,124,50.0%,26,34,50,25,75,135,55.6%,36,26,38,30,68,130,52.3%,41,40,45,36,81,162,50.0%,32,59,37,32,69,160,43.1%,31,42,34,23,57,130,43.8%,192,237,254,158,412,841,49.0%,
3480,Eastern Howard School Corporation,20,24,49,25,74,118,62.7%,32,24,46,14,60,116,51.7%,38,32,37,16,53,123,43.1%,31,27,27,37,64,122,52.5%,32,38,44,12,56,126,44.4%,62,32,17,11,28,122,23.0%,215,177,220,115,335,727,46.1%,
3490,Western School Corporation,45,38,62,42,104,187,55.6%,45,39,65,43,108,192,56.3%,58,53,34,48,82,193,42.5%,50,51,54,40,94,195,48.2%,58,45,37,42,79,182,43.4%,51,51,41,49,90,192,46.9%,307,277,293,264,557,1141,48.8%,
3500,Kokomo School Corporation,154,85,98,41,139,378,36.8%,147,71,89,29,118,336,35.1%,163,93,71,34,105,361,29.1%,229,62,38,13,51,342,14.9%,196,79,24,25,49,324,15.1%,223,50,27,29,56,329,17.0%,1112,440,347,171,518,2070,25.0%,
3625,Huntington Co Com Sch Corp,92,85,99,86,185,362,51.1%,100,71,124,80,204,375,54.4%,107,82,107,55,162,351,46.2%,151,99,95,36,131,381,34.4%,135,124,62,39,101,360,28.1%,167,87,50,49,99,353,28.0%,752,548,537,345,882,2182,40.4%,
3640,Medora Community School Corp,***,***,***,***,***,7,***,6,3,2,3,5,14,35.7%,4,3,5,1,6,13,46.2%,***,***,***,***,***,8,***,***,***,***,***,***,8,***,6,3,1,1,2,11,18.2%,22,18,13,8,21,61,34.4%,
3675,Seymour Community Schools,200,75,80,60,140,415,33.7%,202,79,102,55,157,438,35.8%,218,93,70,52,122,433,28.2%,179,81,71,54,125,385,32.5%,223,76,62,36,98,397,24.7%,220,72,48,35,83,375,22.1%,1242,476,433,292,725,2443,29.7%,
3695,Brownstown Cnt Com Sch Corp,23,16,31,17,48,87,55.2%,54,22,22,6,28,104,26.9%,49,23,12,16,28,100,28.0%,38,33,14,13,27,98,27.6%,40,30,17,8,25,95,26.3%,57,26,13,6,19,102,18.6%,261,150,109,66,175,586,29.9%,
3710,Crothersville Community Schools,25,3,11,2,13,41,31.7%,17,5,6,0,6,28,21.4%,24,9,3,7,10,43,23.3%,16,6,3,2,5,27,18.5%,22,9,3,0,3,34,8.8%,26,1,1,0,1,28,3.6%,130,33,27,11,38,201,18.9%,
3785,Kankakee Valley School Corp,36,29,82,87,169,234,72.2%,55,38,87,54,141,234,60.3%,60,64,64,40,104,228,45.6%,94,70,53,22,75,239,31.4%,97,84,50,19,69,250,27.6%,76,74,47,37,84,234,35.9%,418,359,383,259,642,1419,45.2%,
3815,Rensselaer Central School Corp,25,19,34,28,62,106,58.5%,25,14,28,29,57,96,59.4%,27,12,37,33,70,109,64.2%,32,25,25,36,61,118,51.7%,26,34,26,30,56,116,48.3%,38,17,12,18,30,85,35.3%,173,121,162,174,336,630,53.3%,
3945,Jay School Corporation,41,58,77,70,147,246,59.8%,63,48,64,36,100,211,47.4%,66,69,52,41,93,228,40.8%,59,52,48,46,94,205,45.9%,81,61,66,33,99,241,41.1%,74,47,44,39,83,204,40.7%,384,335,351,265,616,1335,46.1%,
3995,Madison Consolidated Schools,49,35,59,24,83,167,49.7%,70,39,47,33,80,189,42.3%,41,46,42,24,66,153,43.1%,58,42,42,29,71,171,41.5%,53,65,30,19,49,167,29.3%,78,31,36,44,80,189,42.3%,349,258,256,173,429,1036,41.4%,
4000,Southwestern-Jefferson Co Con,23,13,36,19,55,91,60.4%,25,16,19,14,33,74,44.6%,21,29,15,15,30,80,37.5%,65,31,13,6,19,115,16.5%,49,20,13,6,19,88,21.6%,71,13,1,2,3,87,3.4%,254,122,97,62,159,535,29.7%,
4015,Jennings County School Corporation,68,44,80,60,140,252,55.6%,105,78,92,42,134,317,42.3%,110,78,64,27,91,279,32.6%,106,68,60,44,104,278,37.4%,103,96,73,25,98,297,33.0%,153,84,38,39,77,314,24.5%,645,448,407,237,644,1737,37.1%,
4145,Clark-Pleasant Community Sch Corp,131,104,172,108,280,515,54.4%,171,98,164,86,250,519,48.2%,147,150,149,101,250,547,45.7%,185,107,131,113,244,536,45.5%,177,164,108,102,210,551,38.1%,158,148,130,96,226,532,42.5%,969,771,854,606,1460,3200,45.6%,
4205,Center Grove Community School Corp,118,99,220,261,481,698,68.9%,128,122,246,259,505,755,66.9%,135,144,200,243,443,722,61.4%,143,146,223,257,480,769,62.4%,188,203,196,221,417,808,51.6%,176,162,148,254,402,740,54.3%,888,876,1233,1495,2728,4492,60.7%,
4215,Edinburgh Community School Corp,26,8,12,14,26,60,43.3%,32,10,13,4,17,59,28.8%,46,14,5,1,6,66,9.1%,16,24,16,1,17,57,29.8%,23,14,9,4,13,50,26.0%,32,16,10,9,19,67,28.4%,175,86,65,33,98,359,27.3%,
4225,Franklin Community School Corp,106,76,103,80,183,365,50.1%,111,75,112,58,170,356,47.8%,136,101,76,47,123,360,34.2%,123,92,73,69,142,357,39.8%,137,102,74,53,127,366,34.7%,154,82,61,58,119,355,33.5%,767,528,499,365,864,2159,40.0%,
4245,Greenwood Community Sch Corp,55,54,95,73,168,277,60.6%,107,66,102,62,164,337,48.7%,117,74,66,54,120,311,38.6%,111,91,76,51,127,329,38.6%,103,99,63,48,111,313,35.5%,77,70,67,94,161,308,52.3%,570,454,469,382,851,1875,45.4%,
4255,Nineveh-Hensley-Jackson United,44,24,44,40,84,152,55.3%,38,46,53,22,75,159,47.2%,31,34,40,44,84,149,56.4%,51,51,40,20,60,162,37.0%,36,50,34,31,65,151,43.0%,49,70,29,20,49,168,29.2%,249,275,240,177,417,941,44.3%,
4315,North Knox School Corp,19,18,32,19,51,88,58.0%,44,19,25,8,33,96,34.4%,29,35,17,13,30,94,31.9%,45,21,21,10,31,97,32.0%,59,29,24,9,33,121,27.3%,46,21,6,6,12,79,15.2%,242,143,125,65,190,575,33.0%,
4325,South Knox School Corp,11,22,40,24,64,97,66.0%,22,23,44,17,61,106,57.5%,15,31,26,15,41,87,47.1%,51,14,21,7,28,93,30.1%,44,26,17,11,28,98,28.6%,32,23,21,13,34,89,38.2%,175,139,169,87,256,570,44.9%,
4335,Vincennes Community School Corp,52,40,66,39,105,197,53.3%,80,50,59,22,81,211,38.4%,82,43,43,41,84,209,40.2%,94,45,35,28,63,202,31.2%,109,49,29,28,57,215,26.5%,114,41,26,7,33,188,17.6%,531,268,258,165,423,1222,34.6%,
4345,Wawasee Community School Corp,44,32,66,44,110,186,59.1%,56,38,50,49,99,193,51.3%,81,50,29,35,64,195,32.8%,93,51,44,21,65,209,31.1%,91,50,32,23,55,196,28.1%,77,67,27,27,54,198,27.3%,442,288,248,199,447,1177,38.0%,
4415,Warsaw Community Schools,172,94,154,125,279,545,51.2%,159,109,161,86,247,515,48.0%,178,125,129,115,244,547,44.6%,142,97,122,118,240,479,50.1%,150,127,103,117,220,497,44.3%,196,122,86,95,181,499,36.3%,997,674,755,656,1411,3082,45.8%,
4445,Tippecanoe Valley School Corp,37,31,34,27,61,129,47.3%,27,30,42,24,66,123,53.7%,43,38,31,23,54,135,40.0%,66,45,25,8,33,144,22.9%,61,45,23,12,35,141,24.8%,45,35,32,31,63,143,44.1%,279,224,187,125,312,815,38.3%,
4455,Whitko Community School Corp,33,18,34,12,46,97,47.4%,36,27,18,7,25,88,28.4%,41,24,12,11,23,88,26.1%,45,23,14,8,22,90,24.4%,48,19,13,4,17,84,20.2%,39,23,11,3,14,76,18.4%,242,134,102,45,147,523,28.1%,
4515,Prairie Heights Community Sch Corp,31,24,39,32,71,126,56.3%,28,17,29,18,47,92,51.1%,38,32,18,12,30,100,30.0%,50,24,5,3,8,82,9.8%,41,30,16,7,23,94,24.5%,47,34,20,6,26,107,24.3%,235,161,127,78,205,601,34.1%,
4525,Westview School Corporation,14,30,57,65,122,166,73.5%,20,30,69,66,135,185,73.0%,26,43,46,57,103,172,59.9%,23,32,48,50,98,153,64.1%,36,41,58,36,94,171,55.0%,32,41,40,49,89,162,54.9%,151,217,318,323,641,1009,63.5%,
4535,Lakeland School Corporation,33,19,22,18,40,92,43.5%,58,24,23,10,33,115,28.7%,64,18,11,16,27,109,24.8%,64,23,20,7,27,114,23.7%,50,25,19,9,28,103,27.2%,56,24,21,7,28,108,25.9%,325,133,116,67,183,641,28.5%,
4570,NW Indiana Special Education Coop,***,***,***,***,***,2,***,***,***,***,***,***,5,***,***,***,***,***,***,1,***,***,***,***,***,***,1,***,***,***,***,***,***,6,***,***,***,***,***,***,2,***,17,0,0,0,0,17,0.0%,
4580,Hanover Community School Corp,26,31,71,85,156,213,73.2%,39,38,84,50,134,211,63.5%,30,55,64,59,123,208,59.1%,46,52,66,58,124,222,55.9%,54,53,56,47,103,210,49.0%,86,71,36,36,72,229,31.4%,281,300,377,335,712,1293,55.1%,
4590,River Forest Community Sch Corp,70,28,18,7,25,123,20.3%,62,24,15,4,19,105,18.1%,37,26,27,14,41,104,39.4%,73,26,10,2,12,111,10.8%,81,28,10,2,12,121,9.9%,94,22,5,3,8,124,6.5%,417,154,85,32,117,688,17.0%,
4600,Merrillville Community School Corp,148,94,108,44,152,394,38.6%,175,83,116,59,175,433,40.4%,158,83,69,41,110,351,31.3%,221,78,56,52,108,407,26.5%,268,112,37,10,47,427,11.0%,279,110,45,21,66,455,14.5%,1249,560,431,227,658,2467,26.7%,
4615,Lake Central School Corporation,74,115,203,203,406,595,68.2%,129,128,257,202,459,716,64.1%,138,180,178,183,361,679,53.2%,138,199,171,101,272,609,44.7%,219,241,149,106,255,715,35.7%,227,237,172,91,263,727,36.2%,925,1100,1130,886,2016,4041,49.9%,
4645,Tri-Creek School Corporation,38,30,95,88,183,251,72.9%,31,47,96,73,169,247,68.4%,24,34,79,86,165,223,74.0%,64,68,48,52,100,232,43.1%,88,51,57,56,113,252,44.8%,107,53,48,25,73,233,31.3%,352,283,423,380,803,1438,55.8%,
4650,Lake Ridge New Tech Schools,61,10,7,1,8,79,10.1%,78,7,9,1,10,95,10.5%,71,14,8,1,9,94,9.6%,84,17,2,1,3,104,2.9%,88,13,4,1,5,106,4.7%,99,16,1,1,2,117,1.7%,481,77,31,6,37,595,6.2%,
4660,Crown Point Community School Corp,75,102,226,253,479,656,73.0%,87,119,241,175,416,622,66.9%,92,172,215,197,412,676,60.9%,149,176,208,164,372,697,53.4%,140,200,174,158,332,672,49.4%,188,202,189,150,339,729,46.5%,731,971,1253,1097,2350,4052,58.0%,
4670,School City of East Chicago,135,47,33,8,41,223,18.4%,134,40,32,4,36,210,17.1%,144,46,35,5,40,230,17.4%,137,44,24,10,34,215,15.8%,175,37,6,1,7,219,3.2%,189,21,4,4,8,218,3.7%,914,235,134,32,166,1315,12.6%,
4680,Lake Station Community Schools,30,24,18,10,28,82,34.1%,39,19,12,3,15,73,20.5%,39,34,16,4,20,93,21.5%,40,16,5,1,6,62,9.7%,55,11,4,0,4,70,5.7%,52,13,0,0,0,65,0.0%,255,117,55,18,73,445,16.4%,
4690,Gary Community School Corp,280,53,30,8,38,371,10.2%,346,33,23,4,27,406,6.7%,290,31,9,4,13,334,3.9%,227,18,8,2,10,255,3.9%,189,17,3,0,3,209,1.4%,217,12,1,1,2,231,0.9%,1549,164,74,19,93,1806,5.1%,
4700,Griffith Public Schools,37,38,57,23,80,155,51.6%,48,33,34,16,50,131,38.2%,35,39,47,19,66,140,47.1%,71,35,25,14,39,145,26.9%,59,41,21,9,30,130,23.1%,45,44,33,22,55,144,38.2%,295,230,217,103,320,845,37.9%,
4710,School City of Hammond,467,155,145,41,186,808,23.0%,532,143,122,20,142,817,17.4%,515,159,99,47,146,820,17.8%,508,153,61,15,76,737,10.3%,585,87,26,8,34,706,4.8%,632,65,13,3,16,713,2.2%,3239,762,466,134,600,4601,13.0%,
4720,School Town of Highland,41,47,78,58,136,224,60.7%,71,39,77,51,128,238,53.8%,58,65,61,53,114,237,48.1%,45,61,81,60,141,247,57.1%,83,78,55,43,98,259,37.8%,93,74,32,26,58,225,25.8%,391,364,384,291,675,1430,47.2%,
4730,School City of Hobart,68,70,99,52,151,289,52.2%,88,56,95,80,175,319,54.9%,84,82,67,59,126,292,43.2%,122,56,81,47,128,306,41.8%,127,75,48,35,83,285,29.1%,136,84,40,38,78,298,26.2%,625,423,430,311,741,1789,41.4%,
4740,School Town of Munster,28,31,77,136,213,272,78.3%,25,39,98,110,208,272,76.5%,36,73,87,138,225,334,67.4%,53,57,85,119,204,314,65.0%,45,92,90,90,180,317,56.8%,65,69,48,128,176,310,56.8%,252,361,485,721,1206,1819,66.3%,
4760,School City of Whiting,18,14,21,14,35,67,52.2%,28,11,18,6,24,63,38.1%,25,17,26,6,32,74,43.2%,26,14,21,14,35,75,46.7%,48,23,5,2,7,78,9.0%,68,19,5,6,11,98,11.2%,213,98,96,48,144,455,31.6%,
4805,New Prairie United School Corp,23,34,77,72,149,206,72.3%,24,36,68,75,143,203,70.4%,28,49,68,65,133,210,63.3%,42,52,53,55,108,202,53.5%,42,69,64,51,115,226,50.9%,67,68,38,53,91,226,40.3%,226,308,368,371,739,1273,58.1%,
4860,MSD of New Durham Township,24,25,27,8,35,84,41.7%,17,22,23,14,37,76,48.7%,21,20,16,8,24,65,36.9%,30,21,20,6,26,77,33.8%,23,19,15,9,24,66,36.4%,15,26,14,11,25,66,37.9%,130,133,115,56,171,434,39.4%,
4915,Tri-Township Cons School Corp,10,7,7,3,10,27,37.0%,3,4,10,5,15,22,68.2%,6,9,3,2,5,20,25.0%,6,5,3,0,3,14,21.4%,12,4,2,1,3,19,15.8%,15,5,5,2,7,27,25.9%,52,34,30,13,43,129,33.3%,
4925,Michigan City Area Schools,145,73,98,52,150,368,40.8%,170,93,92,42,134,397,33.8%,201,78,60,50,110,389,28.3%,173,83,60,32,92,348,26.4%,191,68,41,27,68,327,20.8%,222,65,29,9,38,325,11.7%,1102,460,380,212,592,2154,27.5%,
4940,South Central Com School Corp,13,19,18,30,48,80,60.0%,9,8,19,27,46,63,73.0%,15,18,21,24,45,78,57.7%,13,20,17,17,34,67,50.7%,24,25,16,14,30,79,38.0%,24,32,8,3,11,67,16.4%,98,122,99,115,214,434,49.3%,
4945,La Porte Community School Corp,96,77,130,109,239,412,58.0%,97,98,166,73,239,434,55.1%,124,91,98,89,187,402,46.5%,172,116,100,57,157,445,35.3%,146,119,92,63,155,420,36.9%,174,108,97,60,157,439,35.8%,809,609,683,451,1134,2552,44.4%,
5075,North Lawrence Com Schools,75,62,64,43,107,244,43.9%,79,49,68,42,110,238,46.2%,66,61,56,33,89,216,41.2%,94,71,51,37,88,253,34.8%,110,73,42,20,62,245,25.3%,120,68,44,27,71,259,27.4%,544,384,325,202,527,1455,36.2%,
5085,Mitchell Community Schools,25,14,33,23,56,95,58.9%,28,20,36,16,52,100,52.0%,61,36,21,7,28,125,22.4%,71,31,9,4,13,115,11.3%,46,30,8,8,16,92,17.4%,74,26,12,2,14,114,12.3%,305,157,119,60,179,641,27.9%,
5245,Frankton-Lapel Community Schools,51,41,65,41,106,198,53.5%,54,54,72,32,104,212,49.1%,64,62,47,39,86,212,40.6%,73,78,53,18,71,222,32.0%,111,65,40,29,69,245,28.2%,99,58,36,35,71,228,31.1%,452,358,313,194,507,1317,38.5%,
5255,South Madison Com Sch Corp,48,62,106,111,217,327,66.4%,69,76,129,100,229,374,61.2%,69,75,85,81,166,310,53.5%,77,86,98,88,186,349,53.3%,102,94,90,60,150,346,43.4%,109,113,68,56,124,346,35.8%,474,506,576,496,1072,2052,52.2%,
5265,Alexandria Community School Corp,35,18,21,23,44,97,45.4%,34,24,22,20,42,100,42.0%,39,28,20,13,33,100,33.0%,23,23,16,24,40,86,46.5%,46,28,17,9,26,100,26.0%,46,36,17,10,27,109,24.8%,223,157,113,99,212,592,35.8%,
5275,Anderson Community School Corp,209,110,82,43,125,444,28.2%,242,90,79,26,105,437,24.0%,314,98,36,18,54,466,11.6%,309,71,27,26,53,433,12.2%,290,86,34,23,57,433,13.2%,284,83,42,22,64,431,14.8%,1648,538,300,158,458,2644,17.3%,
5280,Elwood Community School Corp,41,25,22,14,36,102,35.3%,66,21,15,10,25,112,22.3%,46,26,12,4,16,88,18.2%,66,16,23,9,32,114,28.1%,73,16,7,4,11,100,11.0%,86,25,10,4,14,125,11.2%,378,129,89,45,134,641,20.9%,
5300,MSD Decatur Township,235,112,122,39,161,508,31.7%,251,116,103,33,136,503,27.0%,249,109,77,34,111,469,23.7%,234,134,98,45,143,511,28.0%,290,115,44,27,71,476,14.9%,332,93,33,13,46,471,9.8%,1591,679,477,191,668,2938,22.7%,
5310,Franklin Township Com Sch Corp,187,149,285,285,570,906,62.9%,260,167,227,201,428,855,50.1%,275,188,198,203,401,864,46.4%,376,184,194,155,349,909,38.4%,288,215,169,134,303,806,37.6%,311,214,148,136,284,809,35.1%,1697,1117,1221,1114,2335,5149,45.3%,
5330,MSD Lawrence Township,581,215,242,168,410,1206,34.0%,615,214,250,129,379,1208,31.4%,557,245,167,148,315,1117,28.2%,659,259,185,121,306,1224,25.0%,699,281,101,65,166,1146,14.5%,883,205,58,67,125,1213,10.3%,3994,1419,1003,698,1701,7114,23.9%,
5340,Perry Township Schools,430,227,319,212,531,1188,44.7%,524,234,331,189,520,1278,40.7%,457,255,291,234,525,1237,42.4%,557,302,287,148,435,1294,33.6%,583,277,188,181,369,1229,30.0%,542,261,216,191,407,1210,33.6%,3093,1556,1632,1155,2787,7436,37.5%,
5350,MSD Pike Township,349,149,176,73,249,747,33.3%,462,173,140,54,194,829,23.4%,369,170,95,48,143,682,21.0%,549,140,63,33,96,785,12.2%,571,126,41,25,66,763,8.7%,627,106,40,29,69,802,8.6%,2927,864,555,262,817,4608,17.7%,
5360,MSD Warren Township,460,159,136,53,189,808,23.4%,524,149,140,37,177,850,20.8%,518,145,67,39,106,769,13.8%,577,136,60,34,94,807,11.6%,599,153,43,17,60,812,7.4%,693,108,29,17,46,847,5.4%,3371,850,475,197,672,4893,13.7%,
5370,MSD Washington Township,256,138,193,171,364,758,48.0%,304,158,200,119,319,781,40.8%,298,172,137,131,268,738,36.3%,412,156,122,124,246,814,30.2%,398,169,113,113,226,793,28.5%,431,196,95,72,167,794,21.0%,2099,989,860,730,1590,4678,34.0%,
5375,MSD Wayne Township,576,241,207,108,315,1132,27.8%,650,236,255,84,339,1225,27.7%,712,213,124,64,188,1113,16.9%,782,193,92,65,157,1132,13.9%,791,213,88,49,137,1141,12.0%,738,251,104,59,163,1152,14.1%,4249,1347,870,429,1299,6895,18.8%,
5380,Beech Grove City Schools,75,36,50,27,77,188,41.0%,83,39,43,17,60,182,33.0%,108,42,15,10,25,175,14.3%,121,54,22,14,36,211,17.1%,114,61,16,20,36,211,17.1%,105,58,37,23,60,223,26.9%,606,290,183,111,294,1190,24.7%,
5385,Indianapolis Public Schools,1028,308,306,194,500,1836,27.2%,1129,281,323,137,460,1870,24.6%,1084,302,194,114,308,1694,18.2%,1144,263,164,88,252,1659,15.2%,933,223,110,91,201,1357,14.8%,1103,230,114,81,195,1528,12.8%,6421,1607,1211,705,1916,9944,19.3%,
5390,Southside Sp Srvs Of Marion Co,***,***,***,***,***,7,***,***,***,***,***,***,4,***,9,0,1,0,1,10,10.0%,15,0,0,0,0,15,0.0%,19,1,0,0,0,20,0.0%,16,1,0,0,0,17,0.0%,70,2,1,0,1,73,1.4%,
5400,School Town of Speedway,10,22,37,44,81,113,71.7%,20,15,37,52,89,124,71.8%,23,17,38,30,68,108,63.0%,39,22,28,29,57,118,48.3%,42,30,34,35,69,141,48.9%,54,35,32,27,59,148,39.9%,188,141,206,217,423,752,56.3%,
5455,Culver Community Schools Corp,14,12,19,14,33,59,55.9%,6,12,17,14,31,49,63.3%,13,25,10,12,22,60,36.7%,30,16,8,7,15,61,24.6%,27,6,6,2,8,41,19.5%,30,12,12,7,19,61,31.1%,120,83,72,56,128,331,38.7%,
5470,Argos Community Schools,31,9,13,2,15,55,27.3%,11,7,17,10,27,45,60.0%,13,14,14,9,23,50,46.0%,21,17,9,10,19,57,33.3%,19,12,10,3,13,44,29.5%,13,10,2,10,12,35,34.3%,108,69,65,44,109,286,38.1%,
5480,Bremen Public Schools,18,16,36,28,64,98,65.3%,38,16,34,18,52,106,49.1%,23,22,27,34,61,106,57.5%,40,33,30,29,59,132,44.7%,38,20,18,26,44,102,43.1%,47,26,22,32,54,127,42.5%,204,133,167,167,334,671,49.8%,
5485,Plymouth Community School Corp,66,42,68,54,122,230,53.0%,82,46,61,44,105,233,45.1%,81,42,54,34,88,211,41.7%,72,54,52,52,104,230,45.2%,108,61,45,30,75,244,30.7%,128,66,40,20,60,254,23.6%,537,311,320,234,554,1402,39.5%,
5495,Triton School Corporation,23,22,19,12,31,76,40.8%,18,14,30,6,36,68,52.9%,17,27,14,15,29,73,39.7%,16,15,16,19,35,66,53.0%,35,18,16,10,26,79,32.9%,30,23,14,12,26,79,32.9%,139,119,109,74,183,441,41.5%,
5520,Shoals Community School Corp,18,7,7,2,9,34,26.5%,20,9,11,11,22,51,43.1%,32,12,11,3,14,58,24.1%,15,12,5,5,10,37,27.0%,20,9,5,1,6,35,17.1%,34,12,4,2,6,52,11.5%,139,61,43,24,67,267,25.1%,
5525,Loogootee Community Sch Corp,13,5,22,23,45,63,71.4%,7,10,16,12,28,45,62.2%,15,20,19,16,35,70,50.0%,13,17,10,17,27,57,47.4%,19,12,11,4,15,46,32.6%,18,15,15,5,20,53,37.7%,85,79,93,77,170,334,50.9%,
5615,Maconaquah School Corp,55,36,41,12,53,144,36.8%,66,45,23,7,30,141,21.3%,44,48,36,10,46,138,33.3%,79,30,14,5,19,128,14.8%,60,39,17,5,22,121,18.2%,55,41,21,5,26,122,21.3%,359,239,152,44,196,794,24.7%,
5620,North Miami Community Schools,5,9,20,14,34,48,70.8%,13,17,24,9,33,63,52.4%,24,11,15,4,19,54,35.2%,18,23,9,0,9,50,18.0%,28,21,7,6,13,62,21.0%,38,22,4,2,6,66,9.1%,126,103,79,35,114,343,33.2%,
5625,Oak Hill United School Corp,24,20,42,25,67,111,60.4%,41,37,32,27,59,137,43.1%,36,26,29,20,49,111,44.1%,28,34,36,25,61,123,49.6%,32,34,19,20,39,105,37.1%,34,38,24,23,47,119,39.5%,195,189,182,140,322,706,45.6%,
5635,Peru Community Schools,40,24,35,26,61,125,48.8%,51,36,42,27,69,156,44.2%,47,41,22,26,48,136,35.3%,62,31,25,20,45,138,32.6%,56,31,24,12,36,123,29.3%,62,30,14,12,26,118,22.0%,318,193,162,123,285,796,35.8%,
5705,Richland-Bean Blossom C S C,38,39,61,76,137,214,64.0%,37,40,65,44,109,186,58.6%,70,51,42,29,71,192,37.0%,52,58,55,40,95,205,46.3%,71,75,41,26,67,213,31.5%,78,73,30,29,59,210,28.1%,346,336,294,244,538,1220,44.1%,
