Data Notes:,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,
,,Grade 5,,,,,,,
Corp ID,Corp Name,"Social Studies
Below
Proficiency","Social Studies 
Approaching
Proficiency","Social Studies 
At
Proficiency","Social Studies 
Above
Proficiency","Social Studies
Total
Proficient","Social Studies
Total
Tested","Social Studies
Proficient 
%",
9895,IN Math & Science Academy - North,34,6,2,1,3,43,7.0%,
9905,Indiana Connections Academy,121,35,36,17,53,209,25.4%,
9920,Damar Charter Academy,***,***,***,***,***,5,***,
9925,Phalen Leadership Academy - IN Inc,16,1,1,0,1,18,5.6%,
9935,Vision Academy,21,6,3,1,4,31,12.9%,
9950,Dugger Union Community School Corp,23,9,11,2,13,45,28.9%,
9954,Phalen Leadership Academy at Louis B Russell School 48,33,3,0,0,0,36,0.0%,
9955,Mays Community Academy,11,3,1,0,1,15,6.7%,
9960,Success Academy Primary School,64,10,8,3,11,85,12.9%,
9970,ACE Preparatory Academy,11,4,3,1,4,19,21.1%,
9975,Global Preparatory Academy,44,12,4,0,4,60,6.7%,
9980,Steel City Academy,23,2,0,0,0,25,0.0%,
9985,Seven Oaks Classical School,7,6,9,19,28,41,68.3%,
9990,Higher Institute of Arts & Tech,20,1,2,0,2,23,8.7%,
