Data Notes:,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 3,,,Grade 4,,,Grade 5,,,Grade 6,,,Grade 7,,,Grade 8,,,Corporation Total,,,
Corp ID,Corp Name,"ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
1560,Sunman-Dearborn Com Sch Corp,128,276,46.4%,120,280,42.9%,95,225,42.2%,85,268,31.7%,103,289,35.6%,103,287,35.9%,634,1625,39.0%,
1600,South Dearborn Community Sch Corp,38,119,31.9%,36,133,27.1%,37,126,29.4%,40,144,27.8%,37,153,24.2%,29,142,20.4%,217,817,26.6%,
1620,Lawrenceburg Community School Corp,56,138,40.6%,43,127,33.9%,40,137,29.2%,25,152,16.4%,38,140,27.1%,33,159,20.8%,235,853,27.5%,
1655,Decatur County Community Schools,58,133,43.6%,70,152,46.1%,40,119,33.6%,53,130,40.8%,34,125,27.2%,38,131,29.0%,293,790,37.1%,
1730,Greensburg Community Schools,50,148,33.8%,48,162,29.6%,59,140,42.1%,38,139,27.3%,37,137,27.0%,36,145,24.8%,268,871,30.8%,
1805,DeKalb Co Eastern Com Sch Dist,21,97,21.6%,25,90,27.8%,16,89,18.0%,23,102,22.5%,27,91,29.7%,11,91,12.1%,123,560,22.0%,
1820,Garrett-Keyser-Butler Com Sch Corp,16,122,13.1%,28,103,27.2%,15,110,13.6%,20,128,15.6%,23,130,17.7%,21,131,16.0%,123,724,17.0%,
1835,DeKalb Co Ctl United Sch Dist,87,271,32.1%,81,275,29.5%,81,227,35.7%,64,260,24.6%,73,256,28.5%,82,241,34.0%,468,1530,30.6%,
1875,Delaware Community School Corp,86,175,49.1%,99,201,49.3%,77,181,42.5%,74,201,36.8%,50,191,26.2%,60,215,27.9%,446,1164,38.3%,
1885,Wes-Del Community Schools,15,68,22.1%,18,55,32.7%,16,69,23.2%,19,71,26.8%,12,59,20.3%,19,67,28.4%,99,389,25.4%,
1895,Liberty-Perry Community Sch Corp,34,84,40.5%,63,97,64.9%,45,98,45.9%,42,90,46.7%,48,87,55.2%,32,91,35.2%,264,547,48.3%,
1900,Cowan Community School Corp,18,59,30.5%,14,59,23.7%,21,72,29.2%,26,65,40.0%,17,58,29.3%,9,61,14.8%,105,374,28.1%,
1910,Yorktown Community Schools,88,210,41.9%,73,219,33.3%,82,221,37.1%,96,234,41.0%,79,214,36.9%,80,246,32.5%,498,1344,37.1%,
1940,Daleville Community Schools,21,80,26.3%,16,73,21.9%,16,80,20.0%,25,81,30.9%,20,82,24.4%,11,74,14.9%,109,470,23.2%,
1970,Muncie Community Schools,64,382,16.8%,89,377,23.6%,68,404,16.8%,43,346,12.4%,43,335,12.8%,23,342,6.7%,330,2186,15.1%,
2040,Northeast Dubois Co Sch Corp,14,50,28.0%,25,53,47.2%,25,68,36.8%,28,55,50.9%,36,64,56.3%,13,52,25.0%,141,342,41.2%,
2100,Southeast Dubois Co Sch Corp,40,92,43.5%,41,82,50.0%,53,102,52.0%,60,103,58.3%,48,86,55.8%,32,79,40.5%,274,544,50.4%,
2110,Southwest Dubois Co Sch Corp,54,168,32.1%,53,163,32.5%,48,138,34.8%,59,131,45.0%,33,126,26.2%,45,137,32.8%,292,863,33.8%,
2120,Greater Jasper Consolidated Schs,120,281,42.7%,127,229,55.5%,103,242,42.6%,97,246,39.4%,85,199,42.7%,91,246,37.0%,623,1443,43.2%,
2155,Fairfield Community Schools,92,172,53.5%,76,187,40.6%,77,184,41.8%,67,168,39.9%,61,177,34.5%,49,176,27.8%,422,1064,39.7%,
2260,Baugo Community Schools,73,126,57.9%,83,152,54.6%,59,126,46.8%,82,167,49.1%,56,135,41.5%,49,147,33.3%,402,853,47.1%,
2270,Concord Community Schools,110,369,29.8%,99,404,24.5%,72,338,21.3%,106,406,26.1%,70,428,16.4%,69,420,16.4%,526,2365,22.2%,
2275,Middlebury Community Schools,169,299,56.5%,93,278,33.5%,103,344,29.9%,124,304,40.8%,119,303,39.3%,161,318,50.6%,769,1846,41.7%,
2285,Wa-Nee Community Schools,118,222,53.2%,93,221,42.1%,121,217,55.8%,123,202,60.9%,110,221,49.8%,114,229,49.8%,679,1312,51.8%,
2305,Elkhart Community Schools,131,839,15.6%,119,823,14.5%,138,784,17.6%,115,806,14.3%,87,758,11.5%,102,741,13.8%,692,4751,14.6%,
2315,Goshen Community Schools,115,419,27.4%,119,429,27.7%,111,464,23.9%,100,466,21.5%,113,447,25.3%,113,477,23.7%,671,2702,24.8%,
2395,Fayette County School Corporation,38,211,18.0%,60,225,26.7%,57,199,28.6%,51,215,23.7%,40,214,18.7%,40,229,17.5%,286,1293,22.1%,
2400,New Albany-Floyd Co Con Sch,419,796,52.6%,421,882,47.7%,271,781,34.7%,284,836,34.0%,304,859,35.4%,231,864,26.7%,1930,5018,38.5%,
2435,Attica Consolidated School Corp,10,33,30.3%,6,37,16.2%,14,45,31.1%,6,36,16.7%,7,44,15.9%,3,35,8.6%,46,230,20.0%,
2440,Covington Community School Corp,15,62,24.2%,38,79,48.1%,23,52,44.2%,32,70,45.7%,14,53,26.4%,23,67,34.3%,145,383,37.9%,
2455,Southeast Fountain School Corp,27,84,32.1%,21,77,27.3%,21,84,25.0%,10,59,16.9%,16,91,17.6%,9,71,12.7%,104,466,22.3%,
2475,Franklin County Community Sch Corp,39,122,32.0%,41,127,32.3%,45,145,31.0%,36,151,23.8%,33,151,21.9%,25,122,20.5%,219,818,26.8%,
