Data Notes:,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 3,,,Grade 4,,,Grade 5,,,Grade 6,,,Grade 7,,,Grade 8,,,Corporation Total,,,
Corp ID,Corp Name,"ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
%","ELA & Math
Total
Proficient","ELA & Math
Total
Tested","ELA & Math
Proficient 
4925,Michigan City Area Schools,81,367,22.1%,80,397,20.2%,79,389,20.3%,74,348,21.3%,56,326,17.2%,28,324,8.6%,398,2151,18.5%,
4940,South Central Com School Corp,27,80,33.8%,33,63,52.4%,32,78,41.0%,23,67,34.3%,25,79,31.6%,10,67,14.9%,150,434,34.6%,
4945,La Porte Community School Corp,157,412,38.1%,164,434,37.8%,127,401,31.7%,130,443,29.3%,132,420,31.4%,124,438,28.3%,834,2548,32.7%,
5075,North Lawrence Com Schools,57,244,23.4%,73,238,30.7%,63,216,29.2%,72,253,28.5%,44,245,18.0%,56,259,21.6%,365,1455,25.1%,
5085,Mitchell Community Schools,27,95,28.4%,34,100,34.0%,17,125,13.6%,8,115,7.0%,14,92,15.2%,10,114,8.8%,110,641,17.2%,
5245,Frankton-Lapel Community Schools,59,198,29.8%,75,212,35.4%,61,212,28.8%,53,222,23.9%,47,244,19.3%,57,228,25.0%,352,1316,26.7%,
5255,South Madison Com Sch Corp,119,327,36.4%,148,374,39.6%,125,310,40.3%,151,349,43.3%,129,346,37.3%,110,346,31.8%,782,2052,38.1%,
5265,Alexandria Community School Corp,27,97,27.8%,28,100,28.0%,26,100,26.0%,32,86,37.2%,21,100,21.0%,25,109,22.9%,159,592,26.9%,
5275,Anderson Community School Corp,58,444,13.1%,66,436,15.1%,41,466,8.8%,39,433,9.0%,37,432,8.6%,53,430,12.3%,294,2641,11.1%,
5280,Elwood Community School Corp,22,102,21.6%,14,112,12.5%,8,88,9.1%,18,114,15.8%,6,100,6.0%,12,125,9.6%,80,641,12.5%,
5300,MSD Decatur Township,86,508,16.9%,85,503,16.9%,72,469,15.4%,101,511,19.8%,61,476,12.8%,33,470,7.0%,438,2937,14.9%,
5310,Franklin Township Com Sch Corp,376,905,41.5%,326,853,38.2%,291,864,33.7%,293,908,32.3%,244,806,30.3%,237,807,29.4%,1767,5143,34.4%,
5330,MSD Lawrence Township,228,1206,18.9%,259,1208,21.4%,229,1117,20.5%,234,1224,19.1%,149,1140,13.1%,114,1208,9.4%,1213,7103,17.1%,
5340,Perry Township Schools,323,1185,27.3%,395,1278,30.9%,392,1236,31.7%,350,1287,27.2%,311,1228,25.3%,366,1209,30.3%,2137,7423,28.8%,
5350,MSD Pike Township,163,746,21.8%,136,829,16.4%,95,682,13.9%,82,785,10.4%,52,761,6.8%,66,799,8.3%,594,4602,12.9%,
5360,MSD Warren Township,124,808,15.3%,129,850,15.2%,77,769,10.0%,64,806,7.9%,50,810,6.2%,40,847,4.7%,484,4890,9.9%,
5370,MSD Washington Township,242,757,32.0%,232,781,29.7%,204,737,27.7%,202,813,24.8%,187,793,23.6%,148,794,18.6%,1215,4675,26.0%,
5375,MSD Wayne Township,166,1132,14.7%,213,1224,17.4%,137,1110,12.3%,124,1128,11.0%,99,1128,8.8%,124,1144,10.8%,863,6866,12.6%,
5380,Beech Grove City Schools,34,188,18.1%,36,182,19.8%,20,175,11.4%,21,211,10.0%,32,211,15.2%,50,223,22.4%,193,1190,16.2%,
5385,Indianapolis Public Schools,297,1833,16.2%,285,1866,15.3%,208,1688,12.3%,196,1655,11.8%,177,1353,13.1%,173,1526,11.3%,1336,9921,13.5%,
5390,Southside Sp Srvs Of Marion Co,***,7,***,***,4,***,1,10,10.0%,0,15,0.0%,0,20,0.0%,0,16,0.0%,1,72,1.4%,
5400,School Town of Speedway,64,113,56.6%,71,124,57.3%,57,108,52.8%,44,118,37.3%,59,141,41.8%,53,148,35.8%,348,752,46.3%,
5455,Culver Community Schools Corp,25,58,43.1%,23,49,46.9%,16,59,27.1%,10,61,16.4%,6,41,14.6%,18,61,29.5%,98,329,29.8%,
5470,Argos Community Schools,9,55,16.4%,18,45,40.0%,12,50,24.0%,16,57,28.1%,10,44,22.7%,11,35,31.4%,76,286,26.6%,
5480,Bremen Public Schools,31,98,31.6%,42,106,39.6%,42,106,39.6%,40,132,30.3%,33,102,32.4%,38,127,29.9%,226,671,33.7%,
5485,Plymouth Community School Corp,76,230,33.0%,88,233,37.8%,52,211,24.6%,82,229,35.8%,61,244,25.0%,53,254,20.9%,412,1401,29.4%,
5495,Triton School Corporation,15,76,19.7%,22,68,32.4%,17,73,23.3%,30,66,45.5%,22,79,27.8%,20,79,25.3%,126,441,28.6%,
5520,Shoals Community School Corp,4,34,11.8%,18,51,35.3%,11,58,19.0%,5,37,13.5%,5,35,14.3%,6,52,11.5%,49,267,18.4%,
5525,Loogootee Community Sch Corp,30,63,47.6%,20,45,44.4%,26,70,37.1%,23,57,40.4%,13,46,28.3%,18,53,34.0%,130,334,38.9%,
5615,Maconaquah School Corp,25,144,17.4%,17,141,12.1%,28,138,20.3%,16,128,12.5%,16,121,13.2%,20,121,16.5%,122,793,15.4%,
5620,North Miami Community Schools,24,48,50.0%,20,63,31.7%,15,54,27.8%,5,50,10.0%,9,60,15.0%,6,66,9.1%,79,341,23.2%,
5625,Oak Hill United School Corp,31,111,27.9%,48,137,35.0%,30,111,27.0%,44,123,35.8%,33,105,31.4%,43,119,36.1%,229,706,32.4%,
5635,Peru Community Schools,45,125,36.0%,49,156,31.4%,42,136,30.9%,35,138,25.4%,29,123,23.6%,24,118,20.3%,224,796,28.1%,
5705,Richland-Bean Blossom C S C,92,214,43.0%,78,186,41.9%,55,191,28.8%,77,205,37.6%,57,213,26.8%,53,210,25.2%,412,1219,33.8%,
5740,Monroe County Community Sch Corp,325,725,44.8%,294,735,40.0%,272,759,35.8%,302,767,39.4%,311,749,41.5%,311,754,41.2%,1815,4489,40.4%,
5835,North Montgomery Com Sch Corp,54,139,38.8%,61,144,42.4%,58,123,47.2%,47,142,33.1%,32,131,24.4%,37,146,25.3%,289,825,35.0%,
5845,South Montgomery Com Sch Corp,50,128,39.1%,49,109,45.0%,54,129,41.9%,72,121,59.5%,65,133,48.9%,59,127,46.5%,349,747,46.7%,
5855,Crawfordsville Community Schools,59,173,34.1%,53,182,29.1%,43,177,24.3%,42,201,20.9%,48,196,24.5%,36,170,21.2%,281,1099,25.6%,
5900,Monroe-Gregg School District,32,121,26.4%,27,118,22.9%,25,112,22.3%,19,105,18.1%,19,118,16.1%,23,109,21.1%,145,683,21.2%,
5910,Eminence Community School Corp,1,15,6.7%,9,23,39.1%,4,16,25.0%,4,21,19.0%,0,18,0.0%,1,24,4.2%,19,117,16.2%,
5925,MSD Martinsville Schools,92,296,31.1%,104,286,36.4%,37,247,15.0%,74,265,27.9%,64,284,22.5%,95,293,32.4%,466,1671,27.9%,
5930,Mooresville Con School Corp,106,301,35.2%,125,316,39.6%,94,297,31.6%,117,314,37.3%,79,337,23.4%,89,314,28.3%,610,1879,32.5%,
5945,North Newton School Corp,23,79,29.1%,14,63,22.2%,16,82,19.5%,28,77,36.4%,17,75,22.7%,18,89,20.2%,116,465,24.9%,
5995,South Newton School Corp,15,76,19.7%,15,60,25.0%,26,65,40.0%,10,51,19.6%,14,72,19.4%,7,55,12.7%,87,379,23.0%,
6055,Central Noble Com School Corp,16,84,19.0%,19,80,23.8%,20,77,26.0%,17,73,23.3%,24,81,29.6%,21,82,25.6%,117,477,24.5%,
6060,East Noble School Corporation,73,266,27.4%,64,226,28.3%,59,235,25.1%,70,248,28.2%,40,254,15.7%,38,248,15.3%,344,1477,23.3%,
6065,West Noble School Corporation,22,167,13.2%,36,164,22.0%,34,146,23.3%,32,163,19.6%,26,153,17.0%,54,182,29.7%,204,975,20.9%,
6080,Rising Sun-Ohio Co Com,14,53,26.4%,16,66,24.2%,21,61,34.4%,5,55,9.1%,4,70,5.7%,9,64,14.1%,69,369,18.7%,
6145,Orleans Community Schools,12,66,18.2%,14,62,22.6%,13,54,24.1%,11,68,16.2%,12,81,14.8%,5,54,9.3%,67,385,17.4%,
6155,Paoli Community School Corp,30,105,28.6%,33,78,42.3%,22,84,26.2%,17,80,21.3%,18,88,20.5%,17,75,22.7%,137,510,26.9%,
6160,Springs Valley Com School Corp,17,49,34.7%,23,62,37.1%,22,73,30.1%,9,56,16.1%,8,54,14.8%,8,69,11.6%,87,363,24.0%,
6195,Spencer-Owen Community Schools,47,163,28.8%,51,150,34.0%,44,157,28.0%,38,158,24.1%,34,166,20.5%,39,156,25.0%,253,950,26.6%,
6260,Southwest Parke Com Sch Corp,29,68,42.6%,17,66,25.8%,13,65,20.0%,21,76,27.6%,16,67,23.9%,18,89,20.2%,114,431,26.5%,
6325,Perry Central Com Schools Corp,42,95,44.2%,44,84,52.4%,28,74,37.8%,37,85,43.5%,23,90,25.6%,21,77,27.3%,195,505,38.6%,
6340,Cannelton City Schools,1,11,9.1%,0,12,0.0%,2,16,12.5%,***,9,***,0,12,0.0%,0,16,0.0%,5,76,6.6%,
6350,Tell City-Troy Twp School Corp,42,95,44.2%,37,98,37.8%,29,100,29.0%,28,93,30.1%,25,103,24.3%,32,101,31.7%,193,590,32.7%,
6375,North Central Parke Comm Schl Corp,30,93,32.3%,24,89,27.0%,22,92,23.9%,26,77,33.8%,15,76,19.7%,21,88,23.9%,138,515,26.8%,
6445,Pike County School Corp,21,101,20.8%,31,109,28.4%,21,129,16.3%,24,116,20.7%,18,116,15.5%,28,125,22.4%,143,696,20.5%,
6455,Porter County Education Services,***,1,***,***,4,***,***,4,***,***,5,***,***,3,***,***,3,***,2,20,10.0%,
6460,MSD Boone Township,32,66,48.5%,27,75,36.0%,25,73,34.2%,30,70,42.9%,18,65,27.7%,19,69,27.5%,151,418,36.1%,
6470,Duneland School Corporation,212,401,52.9%,246,426,57.7%,226,412,54.9%,237,424,55.9%,225,427,52.7%,230,436,52.8%,1376,2526,54.5%,
6510,East Porter County School Corp,89,195,45.6%,72,190,37.9%,57,175,32.6%,86,193,44.6%,84,179,46.9%,63,197,32.0%,451,1129,39.9%,
6520,Porter Township School Corp,41,89,46.1%,43,96,44.8%,40,94,42.6%,26,89,29.2%,29,92,31.5%,26,109,23.9%,205,569,36.0%,
6530,Union Township School Corp,65,108,60.2%,71,112,63.4%,63,118,53.4%,48,110,43.6%,59,102,57.8%,53,100,53.0%,359,650,55.2%,
6550,Portage Township Schools,126,494,25.5%,113,462,24.5%,85,483,17.6%,77,492,15.7%,96,480,20.0%,101,515,19.6%,598,2926,20.4%,
6560,Valparaiso Community Schools,289,471,61.4%,316,478,66.1%,242,472,51.3%,203,457,44.4%,229,497,46.1%,182,472,38.6%,1461,2847,51.3%,
6590,MSD Mount Vernon,69,152,45.4%,72,133,54.1%,93,163,57.1%,41,156,26.3%,43,162,26.5%,68,172,39.5%,386,938,41.2%,
6600,MSD North Posey Co Schools,53,99,53.5%,67,112,59.8%,67,109,61.5%,58,137,42.3%,56,98,57.1%,37,121,30.6%,338,676,50.0%,
6620,Eastern Pulaski Community Sch Corp,25,67,37.3%,26,85,30.6%,31,82,37.8%,42,88,47.7%,27,71,38.0%,27,88,30.7%,178,481,37.0%,
6630,West Central School Corp,11,53,20.8%,14,53,26.4%,9,61,14.8%,4,32,12.5%,9,50,18.0%,16,44,36.4%,63,293,21.5%,
6705,South Putnam Community Schools,26,67,38.8%,30,78,38.5%,28,87,32.2%,31,91,34.1%,22,96,22.9%,29,82,35.4%,166,501,33.1%,
6715,North Putnam Community Schools,39,87,44.8%,33,107,30.8%,27,100,27.0%,29,89,32.6%,26,99,26.3%,28,98,28.6%,182,580,31.4%,
6750,Cloverdale Community Schools,82,257,31.9%,62,262,23.7%,54,223,24.2%,46,196,23.5%,38,183,20.8%,27,135,20.0%,309,1256,24.6%,
6755,Greencastle Community School Corp,36,143,25.2%,36,128,28.1%,28,122,23.0%,46,136,33.8%,30,122,24.6%,27,129,20.9%,203,780,26.0%,
6795,Union School Corporation,16,301,5.3%,29,358,8.1%,20,438,4.6%,9,507,1.8%,18,715,2.5%,29,988,2.9%,121,3307,3.7%,
6805,Randolph Southern School Corp,13,42,31.0%,9,31,29.0%,15,27,55.6%,13,37,35.1%,9,31,29.0%,8,34,23.5%,67,202,33.2%,
6820,Monroe Central School Corp,33,99,33.3%,20,80,25.0%,26,80,32.5%,33,82,40.2%,26,85,30.6%,17,76,22.4%,155,502,30.9%,
6825,Randolph Central School Corp,35,118,29.7%,28,83,33.7%,39,110,35.5%,23,107,21.5%,19,96,19.8%,11,86,12.8%,155,600,25.8%,
6835,Randolph Eastern School Corp,7,60,11.7%,6,71,8.5%,7,63,11.1%,12,83,14.5%,4,70,5.7%,3,53,5.7%,39,400,9.8%,
6865,South Ripley Com Sch Corp,30,62,48.4%,39,82,47.6%,21,71,29.6%,35,73,47.9%,37,78,47.4%,41,83,49.4%,203,449,45.2%,
6895,Batesville Community School Corp,73,158,46.2%,69,148,46.6%,57,171,33.3%,57,169,33.7%,48,159,30.2%,66,166,39.8%,370,971,38.1%,
6900,Jac-Cen-Del Community Sch Corp,25,52,48.1%,12,57,21.1%,14,50,28.0%,13,47,27.7%,11,51,21.6%,12,59,20.3%,87,316,27.5%,
6910,Milan Community Schools,11,76,14.5%,12,73,16.4%,22,89,24.7%,14,67,20.9%,16,87,18.4%,9,82,11.0%,84,474,17.7%,
6995,Rush County Schools,27,133,20.3%,22,115,19.1%,38,134,28.4%,32,140,22.9%,34,139,24.5%,34,131,26.0%,187,792,23.6%,
7150,John Glenn School Corporation,54,158,34.2%,59,141,41.8%,56,136,41.2%,50,140,35.7%,51,151,33.8%,43,145,29.7%,313,871,35.9%,
7175,Penn-Harris-Madison School Corp,444,823,53.9%,486,806,60.3%,486,862,56.4%,396,860,46.0%,394,865,45.5%,380,769,49.4%,2586,4985,51.9%,
7200,School City of Mishawaka,89,392,22.7%,77,369,20.9%,89,396,22.5%,72,373,19.3%,55,342,16.1%,54,344,15.7%,436,2216,19.7%,
7205,South Bend Community School Corp,143,965,14.8%,128,966,13.3%,116,982,11.8%,107,909,11.8%,101,912,11.1%,110,965,11.4%,705,5699,12.4%,
7215,Union-North United School Corp,21,97,21.6%,29,97,29.9%,17,78,21.8%,18,78,23.1%,17,100,17.0%,9,79,11.4%,111,529,21.0%,
7230,Scott County School District 1,21,92,22.8%,25,85,29.4%,14,75,18.7%,6,83,7.2%,6,78,7.7%,6,88,6.8%,78,501,15.6%,
7255,Scott County School District 2,76,220,34.5%,75,209,35.9%,66,175,37.7%,53,189,28.0%,50,187,26.7%,46,162,28.4%,366,1142,32.0%,
7285,Shelby Eastern Schools,22,95,23.2%,31,92,33.7%,40,107,37.4%,37,96,38.5%,21,90,23.3%,15,91,16.5%,166,571,29.1%,
7350,Northwestern Con School Corp,33,95,34.7%,31,85,36.5%,33,95,34.7%,41,108,38.0%,40,111,36.0%,20,110,18.2%,198,604,32.8%,
7360,Southwestern Con Sch Shelby Co,13,43,30.2%,13,41,31.7%,12,45,26.7%,18,43,41.9%,2,40,5.0%,6,56,10.7%,64,268,23.9%,
7365,Shelbyville Central Schools,86,264,32.6%,71,259,27.4%,76,273,27.8%,64,294,21.8%,65,284,22.9%,63,266,23.7%,425,1640,25.9%,
7385,North Spencer County Sch Corp,77,158,48.7%,84,144,58.3%,73,136,53.7%,90,163,55.2%,98,171,57.3%,64,136,47.1%,486,908,53.5%,
7445,South Spencer County Sch Corp,33,85,38.8%,30,73,41.1%,25,80,31.3%,30,62,48.4%,22,69,31.9%,23,74,31.1%,163,443,36.8%,
7495,Oregon-Davis School Corp,8,29,27.6%,11,39,28.2%,5,36,13.9%,11,37,29.7%,6,38,15.8%,2,44,4.5%,43,223,19.3%,
7515,North Judson-San Pierre Sch Corp,19,58,32.8%,18,51,35.3%,13,77,16.9%,16,71,22.5%,23,69,33.3%,11,68,16.2%,100,394,25.4%,
7525,Knox Community School Corp,32,130,24.6%,40,122,32.8%,19,123,15.4%,18,116,15.5%,17,99,17.2%,13,118,11.0%,139,708,19.6%,
7605,Fremont Community Schools,28,74,37.8%,22,76,28.9%,15,63,23.8%,22,76,28.9%,27,71,38.0%,21,85,24.7%,135,445,30.3%,
7610,Hamilton Community Schools,12,28,42.9%,5,26,19.2%,10,31,32.3%,4,19,21.1%,5,21,23.8%,5,20,25.0%,41,145,28.3%,
7615,MSD Steuben County,37,184,20.1%,59,186,31.7%,51,178,28.7%,56,170,32.9%,48,186,25.8%,55,160,34.4%,306,1064,28.8%,
7645,Northeast School Corp,15,49,30.6%,12,49,24.5%,12,64,18.8%,13,56,23.2%,12,63,19.0%,1,59,1.7%,65,340,19.1%,
7715,Southwest School Corporation,32,135,23.7%,37,138,26.8%,34,145,23.4%,55,157,35.0%,36,128,28.1%,41,150,27.3%,235,853,27.5%,
7775,Switzerland County School Corp,30,115,26.1%,27,107,25.2%,37,110,33.6%,17,110,15.5%,29,101,28.7%,21,104,20.2%,161,647,24.9%,
7855,Lafayette School Corporation,173,573,30.2%,153,584,26.2%,90,499,18.0%,85,490,17.3%,99,487,20.3%,66,494,13.4%,666,3127,21.3%,
7865,Tippecanoe School Corp,391,1060,36.9%,462,1016,45.5%,407,1036,39.3%,344,1082,31.8%,321,1001,32.1%,381,1048,36.4%,2306,6243,36.9%,
7875,West Lafayette Com School Corp,118,175,67.4%,84,161,52.2%,115,193,59.6%,104,185,56.2%,93,169,55.0%,93,185,50.3%,607,1068,56.8%,
7935,Tri-Central Community Schools,14,62,22.6%,12,55,21.8%,27,64,42.2%,3,57,5.3%,6,53,11.3%,9,54,16.7%,71,345,20.6%,
7945,Tipton Community School Corp,41,91,45.1%,41,111,36.9%,31,101,30.7%,34,112,30.4%,22,90,24.4%,31,102,30.4%,200,607,32.9%,
7950,Union Co/Clg Corner Joint Sch Dist,49,110,44.5%,39,107,36.4%,34,98,34.7%,17,87,19.5%,24,98,24.5%,15,77,19.5%,178,577,30.8%,
7995,Evansville Vanderburgh School Corp,397,1569,25.3%,465,1562,29.8%,397,1552,25.6%,482,1655,29.1%,428,1546,27.7%,480,1621,29.6%,2649,9505,27.9%,
8010,North Vermillion Com Sch Corp,16,40,40.0%,9,47,19.1%,9,59,15.3%,12,57,21.1%,8,67,11.9%,2,62,3.2%,56,332,16.9%,
8020,South Vermillion Com Sch Corp,32,120,26.7%,34,127,26.8%,30,134,22.4%,20,118,16.9%,18,114,15.8%,11,108,10.2%,145,721,20.1%,
8030,Vigo County School Corp,275,970,28.4%,278,1009,27.6%,212,980,21.6%,181,956,18.9%,195,896,21.8%,185,918,20.2%,1326,5729,23.1%,
8045,Manchester Community Schools,41,81,50.6%,48,100,48.0%,35,101,34.7%,35,97,36.1%,27,103,26.2%,16,79,20.3%,202,561,36.0%,
8050,MSD Wabash County Schools,35,123,28.5%,48,143,33.6%,38,113,33.6%,42,123,34.1%,27,135,20.0%,37,152,24.3%,227,789,28.8%,
8060,Wabash City Schools,13,85,15.3%,11,100,11.0%,18,97,18.6%,18,109,16.5%,27,118,22.9%,11,100,11.0%,98,609,16.1%,
8115,MSD Warren County,37,118,31.4%,39,101,38.6%,23,96,24.0%,38,130,29.2%,19,107,17.8%,17,104,16.3%,173,656,26.4%,
8130,Warrick County School Corp,342,711,48.1%,445,721,61.7%,395,754,52.4%,340,765,44.4%,334,734,45.5%,375,778,48.2%,2231,4463,50.0%,
8205,Salem Community Schools,33,120,27.5%,40,135,29.6%,39,126,31.0%,27,123,22.0%,13,108,12.0%,18,141,12.8%,170,753,22.6%,
8215,East Washington School Corp,32,101,31.7%,53,105,50.5%,18,96,18.8%,26,92,28.3%,33,119,27.7%,38,111,34.2%,200,624,32.1%,
8220,West Washington School Corp,39,63,61.9%,41,75,54.7%,36,59,61.0%,37,62,59.7%,26,69,37.7%,15,61,24.6%,194,389,49.9%,
8305,Nettle Creek School Corporation,27,80,33.8%,28,83,33.7%,24,86,27.9%,30,94,31.9%,24,74,32.4%,17,109,15.6%,150,526,28.5%,
8355,Western Wayne Schools,11,50,22.0%,16,52,30.8%,14,42,33.3%,15,44,34.1%,8,54,14.8%,9,44,20.5%,73,286,25.5%,
8360,Centerville-Abington Com Schs,29,132,22.0%,35,133,26.3%,40,141,28.4%,69,141,48.9%,42,135,31.1%,33,144,22.9%,248,826,30.0%,
8375,Northeastern Wayne Schools,28,80,35.0%,19,94,20.2%,34,89,38.2%,32,87,36.8%,22,101,21.8%,36,119,30.3%,171,570,30.0%,
8385,Richmond Community Schools,76,304,25.0%,81,294,27.6%,50,322,15.5%,46,300,15.3%,30,325,9.2%,24,308,7.8%,307,1853,16.6%,
8425,Southern Wells Com Schools,18,78,23.1%,26,77,33.8%,23,70,32.9%,20,76,26.3%,28,68,41.2%,21,54,38.9%,136,423,32.2%,
8435,Norwell Community Schools,64,174,36.8%,85,184,46.2%,65,193,33.7%,78,181,43.1%,65,179,36.3%,71,213,33.3%,428,1124,38.1%,
8445,MSD Bluffton-Harrison,37,145,25.5%,41,127,32.3%,31,121,25.6%,57,145,39.3%,31,141,22.0%,25,121,20.7%,222,800,27.8%,
8515,North White School Corp,11,68,16.2%,10,73,13.7%,7,74,9.5%,8,67,11.9%,2,72,2.8%,8,76,10.5%,46,430,10.7%,
8525,Frontier School Corporation,18,53,34.0%,16,50,32.0%,14,48,29.2%,17,40,42.5%,25,57,43.9%,18,42,42.9%,108,290,37.2%,
8535,Tri-County School Corporation,25,55,45.5%,27,69,39.1%,14,55,25.5%,13,64,20.3%,14,50,28.0%,20,53,37.7%,113,346,32.7%,
8565,Twin Lakes School Corp,38,171,22.2%,60,173,34.7%,31,175,17.7%,47,173,27.2%,38,143,26.6%,40,171,23.4%,254,1006,25.2%,
8625,Smith-Green Community Schools,35,88,39.8%,20,89,22.5%,21,79,26.6%,16,79,20.3%,19,83,22.9%,9,83,10.8%,120,501,24.0%,
8665,Whitley County Con Schools,90,252,35.7%,95,285,33.3%,81,267,30.3%,66,239,27.6%,63,260,24.2%,46,288,16.0%,441,1591,27.7%,
8675,Invent Learning Hub,2,22,9.1%,1,12,8.3%,0,23,0.0%,0,13,0.0%,1,24,4.2%,2,16,12.5%,6,110,5.5%,
8685,PLA at George H Fisher School 93,4,52,7.7%,13,60,21.7%,8,58,13.8%,11,65,16.9%,,,,,,,36,235,15.3%,
8690,Dynamic Minds Academy,***,4,***,***,1,***,***,7,***,***,6,***,***,4,***,***,7,***,1,29,3.4%,
8950,Phalen Leadership Academy at Francis Scott Key School 103,7,79,8.9%,3,96,3.1%,3,73,4.1%,7,87,8.0%,,,,,,,20,335,6.0%,
8970,GEO Next Generation Academy,,,,,,,,,,,,,0,16,0.0%,0,21,0.0%,0,37,0.0%,
8980,The PATH School,13,75,17.3%,5,70,7.1%,5,75,6.7%,1,79,1.3%,4,54,7.4%,2,57,3.5%,30,410,7.3%,
9000,Phalen Virtual Leadership Academy,0,16,0.0%,1,23,4.3%,1,21,4.8%,0,23,0.0%,0,27,0.0%,1,38,2.6%,3,148,2.0%,
9004,Paramount School of Excellence South Bend,3,31,9.7%,5,42,11.9%,5,47,10.6%,6,39,15.4%,,,,,,,19,159,11.9%,
9022,Paramount School of Excellence Lafayette,1,19,5.3%,5,21,23.8%,13,37,35.1%,6,17,35.3%,,,,,,,25,94,26.6%,
9027,Success Academy at Boys and Girls Club,0,14,0.0%,0,11,0.0%,0,15,0.0%,,,,,,,,,,0,40,0.0%,
9030,Otwell Miller Academy,2,16,12.5%,4,18,22.2%,2,15,13.3%,,,,,,,,,,8,49,16.3%,
9035,Indiana Connections Career Academy,,,,,,,,,,4,22,18.2%,4,46,8.7%,6,66,9.1%,14,134,10.4%,
9040,Avondale Meadows Middle School,,,,,,,2,51,3.9%,3,45,6.7%,2,52,3.8%,2,46,4.3%,9,194,4.6%,
9043,Premier Arts Academy,6,30,20.0%,3,22,13.6%,2,25,8.0%,2,24,8.3%,,,,,,,13,101,12.9%,
9045,James & Rosemary Phalen Leadership Academy Middle School,,,,,,,,,,,,,8,118,6.8%,5,147,3.4%,13,265,4.9%,
9054,The Genius School,1,19,5.3%,2,15,13.3%,1,17,5.9%,3,13,23.1%,,,,,,,7,64,10.9%,
9060,Paramount Cottage Home,32,83,38.6%,20,52,38.5%,23,36,63.9%,,,,,,,,,,75,171,43.9%,
9065,Allegiant Preparatory Academy,5,27,18.5%,3,22,13.6%,2,16,12.5%,,,,,,,,,,10,65,15.4%,
9085,pilotED Schools,2,39,5.1%,3,31,9.7%,3,24,12.5%,1,13,7.7%,,,,,,,9,107,8.4%,
9090,Matchbook Learning  ,2,73,2.7%,4,78,5.1%,1,78,1.3%,2,72,2.8%,5,64,7.8%,4,86,4.7%,18,451,4.0%,
9120,Hoosier College and Career Academy,,,,,,,,,,,,,3,91,3.3%,8,179,4.5%,11,270,4.1%,
9130,Adelante Schools,6,34,17.6%,2,53,3.8%,3,39,7.7%,6,33,18.2%,8,66,12.1%,7,62,11.3%,32,287,11.1%,
9150,Circle City Prep Charter School,1,44,2.3%,11,41,26.8%,1,37,2.7%,4,24,16.7%,3,24,12.5%,,,,20,170,11.8%,
9165,Paramount Englewood,,,,,,,4,17,23.5%,12,62,19.4%,22,80,27.5%,19,62,30.6%,57,221,25.8%,
9170,Rooted School Indianapolis,,,,,,,,,,,,,1,27,3.7%,0,27,0.0%,1,54,1.9%,
9195,Timothy L. Johnson Academy Middle ,,,,,,,,,,0,51,0.0%,1,56,1.8%,2,49,4.1%,3,156,1.9%,
9200,Archdiocese of Indianapolis,843,1673,50.4%,841,1682,50.0%,716,1547,46.3%,740,1632,45.3%,656,1504,43.6%,613,1504,40.8%,4409,9542,46.2%,
9205,Diocese of Gary,188,455,41.3%,177,452,39.2%,168,450,37.3%,178,487,36.6%,179,449,39.9%,155,443,35.0%,1045,2736,38.2%,
9210,Diocese of Lafayette Catholic Sch,207,411,50.4%,203,380,53.4%,204,402,50.7%,200,377,53.1%,198,365,54.2%,153,314,48.7%,1165,2249,51.8%,
9215,Diocese of Evansville,303,523,57.9%,290,517,56.1%,294,516,57.0%,242,442,54.8%,257,459,56.0%,230,425,54.1%,1616,2882,56.1%,
9220,Diocese of Fort Wayne - South Bend,483,1079,44.8%,471,1066,44.2%,426,1025,41.6%,418,1031,40.5%,384,963,39.9%,305,885,34.5%,2487,6049,41.1%,
9230,Lutheran Schools of Indiana,335,775,43.2%,359,795,45.2%,305,831,36.7%,241,755,31.9%,272,695,39.1%,205,651,31.5%,1717,4502,38.1%,
9240,The Oaks Academy,51,107,47.7%,43,104,41.3%,56,103,54.4%,62,110,56.4%,53,99,53.5%,49,82,59.8%,314,605,51.9%,
9310,Charter School of the Dunes,2,81,2.5%,2,62,3.2%,1,64,1.6%,1,61,1.6%,3,80,3.8%,3,71,4.2%,12,419,2.9%,
9320,Community Montessori Inc,4,35,11.4%,6,30,20.0%,4,28,14.3%,4,35,11.4%,8,30,26.7%,7,36,19.4%,33,194,17.0%,
9325,Options Charter Schools,,,,,,,,,,1,29,3.4%,5,58,8.6%,5,92,5.4%,11,179,6.1%,
9330,Irvington Community School,11,61,18.0%,21,68,30.9%,8,65,12.3%,7,66,10.6%,8,73,11.0%,12,71,16.9%,67,404,16.6%,
9350,Timothy L Johnson Academy,4,58,6.9%,0,61,0.0%,1,49,2.0%,,,,,,,,,,5,168,3.0%,
