Data Notes:,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 4,,,,,,,Grade 6,,,,,,,Corporation Total,,,,,,,
Corp ID,Corp Name,"Science
Below
Proficiency","Science 
Approaching
Proficiency","Science 
At
Proficiency","Science 
Above
Proficiency","Science
Total
Proficient","Science
Total
Tested","Science
Proficient 
%","Science
Below
Proficiency","Science 
Approaching
Proficiency","Science 
At
Proficiency","Science 
Above
Proficiency","Science
Total
9380,Christel House Academy South,18,27,7,1,8,53,15.1%,23,20,8,1,9,52,17.3%,41,47,15,2,17,105,16.2%,
9395,Christel House Academy West,15,26,10,0,10,51,19.6%,24,23,4,2,6,53,11.3%,39,49,14,2,16,104,15.4%,
9400,KIPP Indy College Prep Middle,,,,,,,,61,45,10,1,11,117,9.4%,61,45,10,1,11,117,9.4%,
9410,KIPP Indy Unite Elementary,56,40,7,0,7,103,6.8%,,,,,,,,56,40,7,0,7,103,6.8%,
9425,Tindley Genesis Academy,28,9,7,0,7,44,15.9%,25,16,3,1,4,45,8.9%,53,25,10,1,11,89,12.4%,
9430,Tindley Summit Academy,20,5,2,0,2,27,7.4%,10,9,0,0,0,19,0.0%,30,14,2,0,2,46,4.3%,
9460,Thea Bowman Leadership Academy,12,26,2,0,2,40,5.0%,***,***,***,***,***,7,***,16,29,2,0,2,47,4.3%,
9485,SE Neighborhood Sch of Excellence,40,16,13,4,17,73,23.3%,20,31,7,5,12,63,19.0%,60,47,20,9,29,136,21.3%,
9495,Joshua Academy,4,18,9,1,10,32,31.3%,7,8,0,0,0,15,0.0%,11,26,9,1,10,47,21.3%,
9531,Paramount Online Academy,4,9,4,0,4,17,23.5%,24,13,1,0,1,38,2.6%,28,22,5,0,5,55,9.1%,
9533,Promise Prep,7,2,2,0,2,11,18.2%,,,,,,,,7,2,2,0,2,11,18.2%,
9534,Indy Steam Academy,9,6,3,0,3,18,16.7%,8,9,2,2,4,21,19.0%,17,15,5,2,7,39,17.9%,
9535,Gary Lighthouse Charter School,34,30,3,0,3,67,4.5%,31,44,9,2,11,86,12.8%,65,74,12,2,14,153,9.2%,
9536,Lawrence County Independent Schools,7,10,4,2,6,23,26.1%,3,13,0,0,0,16,0.0%,10,23,4,2,6,39,15.4%,
