Data Notes:,,,,,,,,,,,,,,,,,,,,,,,
Scores reflect all ILEARN Spring 2024 testers,,,,,,,,,,,,,,,,,,,,,,,
*** - Indicates less than 10 students in group.  Results have been supressed to protect student privacy,,,,,,,,,,,,,,,,,,,,,,,
,,Grade 4,,,,,,,Grade 6,,,,,,,Corporation Total,,,,,,,
Corp ID,Corp Name,"Science
Below
Proficiency","Science 
Approaching
Proficiency","Science 
At
Proficiency","Science 
Above
Proficiency","Science
Total
Proficient","Science
Total
Tested","Science
Proficient 
%","Science
Below
Proficiency","Science 
Approaching
Proficiency","Science 
At
Proficiency","Science 
Above
Proficiency","Science
Total
9785,IN Math & Science Academy,19,26,12,5,17,62,27.4%,9,21,12,8,20,50,40.0%,28,47,24,13,37,112,33.0%,
9790,Anderson Preparatory Academy,22,23,8,0,8,53,15.1%,40,22,6,2,8,70,11.4%,62,45,14,2,16,123,13.0%,
9829,Monarca Academy,,,,,,,,8,12,3,1,4,24,16.7%,8,12,3,1,4,24,16.7%,
9835,The Bloomington Project School,2,10,14,7,21,33,63.6%,3,9,9,11,20,32,62.5%,5,19,23,18,41,65,63.1%,
9870,Discovery Charter School,10,25,25,14,39,74,52.7%,6,14,15,15,30,50,60.0%,16,39,40,29,69,124,55.6%,
9875,Rock Creek Community Academy,4,23,19,5,24,51,47.1%,6,22,11,7,18,46,39.1%,10,45,30,12,42,97,43.3%,
9895,IN Math & Science Academy - North,19,23,3,0,3,45,6.7%,***,***,***,***,***,9,***,22,27,5,0,5,54,9.3%,
9905,Indiana Connections Academy,46,61,44,16,60,167,35.9%,53,106,49,52,101,260,38.8%,99,167,93,68,161,427,37.7%,
9920,Damar Charter Academy,***,***,***,***,***,5,***,***,***,***,***,***,6,***,8,3,0,0,0,11,0.0%,
9925,Phalen Leadership Academy - IN Inc,5,18,3,0,3,26,11.5%,3,13,1,0,1,17,5.9%,8,31,4,0,4,43,9.3%,
9935,Vision Academy,8,14,7,0,7,29,24.1%,19,24,1,3,4,47,8.5%,27,38,8,3,11,76,14.5%,
9950,Dugger Union Community School Corp,6,15,10,2,12,33,36.4%,9,20,13,4,17,46,37.0%,15,35,23,6,29,79,36.7%,
9954,Phalen Leadership Academy at Louis B Russell School 48,16,15,3,0,3,34,8.8%,18,12,0,0,0,30,0.0%,34,27,3,0,3,64,4.7%,
9955,Mays Community Academy,7,8,3,1,4,19,21.1%,4,5,2,4,6,15,40.0%,11,13,5,5,10,34,29.4%,
9960,Success Academy Primary School,34,33,11,2,13,80,16.3%,,,,,,,,34,33,11,2,13,80,16.3%,
9965,Career Academy Middle School,,,,,,,,47,38,15,13,28,113,24.8%,47,38,15,13,28,113,24.8%,
9970,ACE Preparatory Academy,2,7,9,2,11,20,55.0%,,,,,,,,2,7,9,2,11,20,55.0%,
9975,Global Preparatory Academy,18,14,12,2,14,46,30.4%,37,26,4,3,7,70,10.0%,55,40,16,5,21,116,18.1%,
9980,Steel City Academy,8,10,4,0,4,22,18.2%,14,12,1,1,2,28,7.1%,22,22,5,1,6,50,12.0%,
9985,Seven Oaks Classical School,0,6,21,16,37,43,86.0%,2,13,8,10,18,33,54.5%,2,19,29,26,55,76,72.4%,
9990,Higher Institute of Arts & Tech,12,9,1,2,3,24,12.5%,9,13,4,1,5,27,18.5%,21,22,5,3,8,51,15.7%,
