2024 Spring-Summer IREAD-3 Results,,,,,,,
"Proficiency rates reflect best Spring/Summer result of first-time third grade cohort, including previous year 2nd grade proficient results",,,,,,,
Public/Nonpublic,Corp Id,Corp Name,Sch Id,Sch Name,IREAD PASS N,IREAD TEST N,IREAD Pass%
Public,7865,Tippecanoe School Corp,8019,Burnett Creek Elementary School,111,126,88.1%
Public,7865,Tippecanoe School Corp,8021,Wea Ridge Elementary School,78,90,86.7%
Public,7865,Tippecanoe School Corp,8024,Battle Ground Elementary School,88,105,83.8%
Public,7865,Tippecanoe School Corp,8035,James Cole Elementary School,55,57,96.5%
Public,7865,Tippecanoe School Corp,8042,Klondike Elementary School,122,160,76.3%
Public,7865,Tippecanoe School Corp,8111,Woodland Elementary School,81,90,90.0%
Public,7875,West Lafayette Com School Corp,8138,West Lafayette Elementary School,159,175,90.9%
Public,7935,Tri-Central Community Schools,8154,Tri Central Elementary,54,58,93.1%
Public,7945,Tipton Community School Corp,8163,Tipton Elementary School,84,90,93.3%
Public,7950,Union Co/Clg Corner Joint Sch Dist,8209,Liberty Elementary School,51,54,94.4%
Public,7950,Union Co/Clg Corner Joint Sch Dist,8213,College Corner Union Elem School,47,56,83.9%
Public,7995,Evansville Vanderburgh School Corp,8207,EVSC Virtual Academy,***,6,***
Public,7995,Evansville Vanderburgh School Corp,8225,Cynthia Heights Elementary School,72,78,92.3%
Public,7995,Evansville Vanderburgh School Corp,8229,Scott Elementary School,73,79,92.4%
Public,7995,Evansville Vanderburgh School Corp,8231,Oak Hill Elementary,66,69,95.7%
Public,7995,Evansville Vanderburgh School Corp,8242,McCutchanville Elementary School,113,131,86.3%
Public,7995,Evansville Vanderburgh School Corp,8251,Lincoln School,15,34,44.1%
Public,7995,Evansville Vanderburgh School Corp,8261,Caze Elementary School,50,68,73.5%
Public,7995,Evansville Vanderburgh School Corp,8265,Cedar Hall Community School,34,56,60.7%
Public,7995,Evansville Vanderburgh School Corp,8270,Academy for Innovative Studies,***,9,***
Public,7995,Evansville Vanderburgh School Corp,8285,Delaware Elementary School,29,39,74.4%
Public,7995,Evansville Vanderburgh School Corp,8289,Dexter Elementary School,27,58,46.6%
Public,7995,Evansville Vanderburgh School Corp,8293,Fairlawn Elementary School,35,78,44.9%
Public,7995,Evansville Vanderburgh School Corp,8301,Glenwood Leadership Academy,18,47,38.3%
Public,7995,Evansville Vanderburgh School Corp,8309,Harper Elementary School,43,65,66.2%
